date,Alfa Romeo,Alpha Tauri,Alpine,Aston Martin,Ferrari,Haas,Mclaren,Mercedes,Red Bull,Williams
2019-03-17,4,1,6,2,22,8,0,44,15,0
2019-03-31,6,2,0,1,26,0,8,43,16,0
2019-04-14,2,1,6,4,25,0,0,43,21,0
2019-04-28,1,0,0,10,26,0,10,43,12,0
2019-05-12,0,2,0,0,22,7,4,44,23,0
2019-05-26,0,10,2,0,18,1,8,40,23,0
2019-06-09,0,1,14,2,33,0,0,38,14,0
2019-06-23,6,0,4,0,26,0,10,43,13,0
2019-06-30,3,0,0,0,30,0,12,25,32,0
2019-07-14,4,2,7,0,15,0,8,44,22,0
2019-07-28,0,23,0,12,18,10,10,2,26,1
2019-08-04,6,1,0,0,27,0,12,29,27,0
2019-09-01,0,8,4,9,38,0,0,33,10,0
2019-09-08,2,0,22,6,25,0,1,34,12,0
2019-09-22,1,4,2,0,43,0,6,22,23,0
2019-09-29,0,0,1,6,15,2,12,44,22,0
2019-10-13,0,7,0,6,26,0,10,41,12,0
2019-10-27,0,2,5,6,31,0,0,40,18,0
2019-11-03,0,0,10,1,13,0,10,43,25,0
2019-11-17,22,19,8,2,0,0,19,6,25,0
2019-12-01,0,2,0,6,25,0,5,38,26,0
2020-07-05,2,6,4,8,19,0,26,37,0,0
2020-07-12,0,1,4,14,0,0,13,43,27,0
2020-07-19,0,0,4,18,8,1,2,41,28,0
2020-08-02,0,6,20,2,16,0,10,25,23,0
2020-08-09,0,1,4,14,12,0,2,34,35,0
2020-08-16,0,2,0,22,6,0,9,41,22,0
2020-08-30,0,4,23,3,0,0,6,43,23,0
2020-09-06,0,27,12,16,0,0,30,17,0,0
2020-09-13,2,6,12,10,5,0,8,44,15,0
2020-09-27,0,6,16,12,8,0,0,41,19,0
2020-10-11,1,8,15,16,6,2,10,25,19,0
2020-10-25,0,10,6,6,13,0,8,44,15,0
2020-11-01,3,12,15,8,10,0,10,44,0,0
2020-11-15,0,0,1,20,27,0,15,25,14,0
2020-11-29,0,8,8,0,1,0,22,29,34,0
2020-12-06,0,6,28,40,0,0,13,7,8,0
2020-12-13,0,4,9,1,0,0,18,33,37,0
2021-03-28,0,2,0,1,12,0,18,41,28,0
2021-04-18,0,6,3,4,22,0,23,19,25,0
2021-05-02,0,1,10,0,8,0,12,41,30,0
2021-05-09,0,1,2,0,18,0,12,40,29,0
2021-05-23,1,8,2,14,18,0,15,7,37,0
2021-06-06,1,21,8,18,16,0,12,0,25,0
2021-06-20,0,6,4,3,0,0,18,30,41,0
2021-06-27,0,1,2,4,14,0,10,34,37,0
2021-07-04,0,2,1,0,14,0,21,30,34,0
2021-07-18,0,1,8,4,26,0,22,43,3,0
2021-08-01,1,19,37,0,15,0,0,18,2,10
2021-08-29,0,4,3,5,2,0,6,7,12,10
2021-09-05,0,12,10,0,16,0,1,34,29,0
2021-09-12,0,0,5,6,20,0,45,18,12,2
2021-09-26,4,0,8,0,15,0,19,35,20,1
2021-10-10,0,8,1,2,16,0,6,36,33,0
2021-10-24,0,2,0,1,18,0,14,27,40,0
2021-11-07,4,12,2,6,18,0,1,18,40,0
2021-11-14,0,6,6,0,19,0,1,43,33,0
2021-11-21,0,0,25,9,10,0,2,25,31,0
2021-12-05,2,8,12,0,10,0,11,41,18,0
2021-12-12,0,22,6,0,16,0,6,26,26,0
2022-03-20,9,4,8,0,44,10,0,27,0,0
2022-03-27,0,4,8,0,34,2,6,11,37,0
2022-04-10,4,2,6,0,26,0,18,27,18,1
2022-04-24,12,6,0,5,20,3,22,12,58,0
2022-05-08,6,0,4,1,33,0,0,18,38,2
2022-05-22,8,1,8,0,12,0,4,25,44,0
2022-05-29,2,0,6,1,30,0,9,14,40,0
2022-06-12,0,10,7,8,0,0,6,27,44,0
2022-06-19,10,0,10,1,29,0,0,27,25,0
2022-07-03,0,0,10,2,37,5,8,16,24,0
2022-07-10,0,0,14,0,38,14,8,33,31,0
2022-07-24,0,0,12,1,11,0,8,33,37,0
2022-07-31,0,0,6,1,20,0,6,34,35,0
2022-08-28,0,2,16,4,23,0,0,12,44,1
2022-09-04,0,0,10,1,19,0,6,30,36,0
2022-09-11,1,4,0,0,30,0,6,25,34,2
2022-10-02,0,1,0,12,33,0,22,2,31,0
2022-10-09,0,0,18,8,15,0,1,14,43,2
2022-10-23,0,1,6,4,15,2,8,29,37,0
2022-10-30,1,0,4,0,18,0,8,31,40,0
2022-11-13,2,0,14,1,37,1,2,58,23,0
2022-11-20,0,0,6,5,30,0,11,10,40,0
