constructorId,2019-03-17,2019-03-31,2019-04-14,2019-04-28,2019-05-12,2019-05-26,2019-06-09,2019-06-23,2019-06-30,2019-07-14,2019-07-28,2019-08-04,2019-09-01,2019-09-08,2019-09-22,2019-09-29,2019-10-13,2019-10-27,2019-11-03,2019-11-17,2019-12-01,2020-07-05,2020-07-12,2020-07-19,2020-08-02,2020-08-09,2020-08-16,2020-08-30,2020-09-06,2020-09-13,2020-09-27,2020-10-11,2020-10-25,2020-11-01,2020-11-15,2020-11-29,2020-12-06,2020-12-13,2021-03-28,2021-04-18,2021-05-02,2021-05-09,2021-05-23,2021-06-06,2021-06-20,2021-06-27,2021-07-04,2021-07-18,2021-08-01,2021-08-29,2021-09-05,2021-09-12,2021-09-26,2021-10-10,2021-10-24,2021-11-07,2021-11-14,2021-11-21,2021-12-05,2021-12-12,2022-03-20,2022-03-27,2022-04-10,2022-04-24,2022-05-08,2022-05-22,2022-05-29,2022-06-12,2022-06-19,2022-07-03,2022-07-10,2022-07-24,2022-07-31,2022-08-28,2022-09-04,2022-09-11,2022-10-02,2022-10-09,2022-10-23,2022-10-30,2022-11-13,2022-11-20
Alfa Romeo,4,6,2,1,0,0,0,6,3,4,0,6,0,2,1,0,0,0,0,22,0,2,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,4,0,0,4,0,0,2,0,9,0,4,12,6,8,2,0,10,0,0,0,0,0,0,1,0,0,0,1,2,0
Alpha Tauri,1,2,1,0,2,10,1,0,0,2,23,1,8,0,4,0,7,2,0,19,2,6,1,0,6,1,2,4,27,6,6,8,10,12,0,8,6,4,2,6,1,1,8,21,6,1,2,1,19,4,12,0,0,8,2,12,6,0,8,22,4,4,2,6,0,1,0,10,0,0,0,0,0,2,0,4,1,0,1,0,0,0
Alpine,6,0,6,0,0,2,14,4,0,7,0,0,4,22,2,1,0,5,10,8,0,4,4,4,20,4,0,23,12,12,16,15,6,15,1,8,28,9,0,3,10,2,2,8,4,2,1,8,37,3,10,5,8,1,0,2,6,25,12,6,8,8,6,0,4,8,6,7,10,10,14,12,6,16,10,0,0,18,6,4,14,6
Aston Martin,2,1,4,10,0,0,2,0,0,0,12,0,9,6,0,6,6,6,1,2,6,8,14,18,2,14,22,3,16,10,12,16,6,8,20,0,40,1,1,4,0,0,14,18,3,4,0,4,0,5,0,6,0,2,1,6,0,9,0,0,0,0,0,5,1,0,1,8,1,2,0,1,1,4,1,0,12,8,4,0,1,5
Ferrari,22,26,25,26,22,18,33,26,30,15,18,27,38,25,43,15,26,31,13,0,25,19,0,8,16,12,6,0,0,5,8,6,13,10,27,1,0,0,12,22,8,18,18,16,0,14,14,26,15,2,16,20,15,16,18,18,19,10,10,16,44,34,26,20,33,12,30,0,29,37,38,11,20,23,19,30,33,15,15,18,37,30
Haas,8,0,0,0,7,1,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,3,0,0,0,0,0,5,14,0,0,0,0,0,0,0,2,0,1,0
Mclaren,0,8,0,10,4,8,0,10,12,8,10,12,0,1,6,12,10,0,10,19,5,26,13,2,10,2,9,6,30,8,0,10,8,10,15,22,13,18,18,23,12,12,15,12,18,10,21,22,0,6,1,45,19,6,14,1,1,2,11,6,0,6,18,22,0,4,9,6,0,8,8,8,6,0,6,6,22,1,8,8,2,11
Mercedes,44,43,43,43,44,40,38,43,25,44,2,29,33,34,22,44,41,40,43,6,38,37,43,41,25,34,41,43,17,44,41,25,44,44,25,29,7,33,41,19,41,40,7,0,30,34,30,43,18,7,34,18,35,36,27,18,43,25,41,26,27,11,27,12,18,25,14,27,27,16,33,33,34,12,30,25,2,14,29,31,58,10
Red Bull,15,16,21,12,23,23,14,13,32,22,26,27,10,12,23,22,12,18,25,25,26,0,27,28,23,35,22,23,0,15,19,19,15,0,14,34,8,37,28,25,30,29,37,25,41,37,34,3,2,12,29,12,20,33,40,40,33,31,18,26,0,37,18,58,38,44,40,44,25,24,31,37,35,44,36,34,31,43,37,40,23,40
Williams,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0
